<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20170201;110000;150.0500000;150.3800000;149.6400000;149.8600000
GAZP;60;20170201;120000;149.9000000;150.1600000;148.6100000;148.6900000
GAZP;60;20170201;130000;148.7000000;148.9300000;148.3200000;148.6600000
GAZP;60;20170201;140000;148.6600000;149.1700000;148.5800000;149.0300000
GAZP;60;20170201;150000;149.0800000;149.4400000;149.0000000;149.2900000
GAZP;60;20170201;160000;149.2500000;149.4500000;148.8500000;148.9800000
GAZP;60;20170201;170000;148.9900000;149.7200000;148.9000000;149.6800000
GAZP;60;20170201;180000;149.6500000;149.9300000;149.1200000;149.1700000
GAZP;60;20170201;190000;149.1700000;149.7000000;148.9000000;149.6500000
GAZP;60;20170202;110000;149.8200000;149.9900000;149.4100000;149.7700000
GAZP;60;20170202;120000;149.7700000;150.1500000;149.6300000;149.7900000
GAZP;60;20170202;130000;149.8600000;150.1500000;149.6700000;150.0800000
GAZP;60;20170202;140000;150.1000000;150.4500000;149.8400000;150.0900000
GAZP;60;20170202;150000;150.0700000;150.1400000;149.5700000;150.0000000
GAZP;60;20170202;160000;150.0000000;150.1000000;149.3000000;149.3000000
GAZP;60;20170202;170000;149.3300000;149.3800000;148.7500000;148.9100000
GAZP;60;20170202;180000;148.8600000;149.1300000;148.7100000;148.7700000
GAZP;60;20170202;190000;148.8300000;148.8400000;148.1500000;148.8000000
GAZP;60;20170203;110000;148.8500000;149.5000000;148.6000000;148.7900000
GAZP;60;20170203;120000;148.7900000;149.8600000;148.5500000;149.6000000
GAZP;60;20170203;130000;149.6000000;149.8000000;149.2400000;149.7200000
GAZP;60;20170203;140000;149.7000000;150.2000000;149.5500000;149.8900000
GAZP;60;20170203;150000;149.8800000;149.9000000;149.0100000;149.0900000
GAZP;60;20170203;160000;149.0700000;149.5000000;148.7500000;148.9600000
GAZP;60;20170203;170000;148.9500000;149.3700000;148.6000000;149.0000000
GAZP;60;20170203;180000;148.9800000;149.3500000;148.8700000;148.8900000
GAZP;60;20170203;190000;148.9300000;149.3500000;148.3700000;149.3500000
GAZP;60;20170206;110000;149.3800000;149.7000000;148.8500000;148.8700000
GAZP;60;20170206;120000;148.9300000;149.1700000;147.8000000;148.1100000
GAZP;60;20170206;130000;148.1100000;148.4800000;147.8000000;148.0800000
GAZP;60;20170206;140000;148.0700000;148.4500000;147.8000000;148.3600000
GAZP;60;20170206;150000;148.3500000;148.6500000;148.1400000;148.4100000
GAZP;60;20170206;160000;148.4000000;148.7000000;148.1700000;148.3900000
GAZP;60;20170206;170000;148.3900000;148.5400000;147.6300000;147.7600000
GAZP;60;20170206;180000;147.7600000;148.0300000;147.7000000;147.8500000
GAZP;60;20170206;190000;147.7900000;148.5000000;147.7000000;148.5000000
GAZP;60;20170207;110000;148.3000000;148.5000000;147.7000000;147.7200000
GAZP;60;20170207;120000;147.7400000;148.3700000;147.7400000;148.1500000
GAZP;60;20170207;130000;148.1500000;148.1500000;147.6000000;148.0400000
GAZP;60;20170207;140000;148.0400000;148.4000000;147.9700000;148.3400000
GAZP;60;20170207;150000;148.3500000;148.6800000;148.3000000;148.3000000
GAZP;60;20170207;160000;148.3000000;148.5200000;148.0700000;148.1100000
GAZP;60;20170207;170000;148.1200000;148.5000000;148.1000000;148.3300000
GAZP;60;20170207;180000;148.3500000;148.5900000;147.9000000;148.1000000
GAZP;60;20170207;190000;148.0900000;148.7000000;148.0900000;148.7000000
GAZP;60;20170208;110000;148.2200000;148.2200000;147.1500000;147.5300000
GAZP;60;20170208;120000;147.5400000;147.7200000;146.1200000;146.2300000
GAZP;60;20170208;130000;146.1700000;146.3400000;145.5600000;145.6600000
GAZP;60;20170208;140000;145.6500000;145.8700000;145.1000000;145.1500000
GAZP;60;20170208;150000;145.1600000;145.2800000;144.2700000;144.3200000
GAZP;60;20170208;160000;144.3100000;144.7400000;143.9000000;144.5500000
