<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20180103;110000;131.0300000;131.7500000;130.6300000;131.4000000
GAZP;60;20180103;120000;131.3500000;131.8700000;131.2000000;131.2100000
GAZP;60;20180103;130000;131.2700000;131.6600000;131.0500000;131.4600000
GAZP;60;20180103;140000;131.4500000;131.5800000;131.1900000;131.3200000
GAZP;60;20180103;150000;131.3200000;131.6000000;130.9200000;131.0100000
GAZP;60;20180103;160000;131.0100000;131.1700000;130.6700000;130.9900000
GAZP;60;20180103;170000;131.0000000;131.7500000;130.9600000;131.5500000
GAZP;60;20180103;180000;131.5700000;131.7500000;131.4500000;131.6100000
GAZP;60;20180103;190000;131.6100000;132.2000000;131.5600000;132.2000000
GAZP;60;20180104;110000;132.5000000;133.2400000;132.3000000;132.7500000
GAZP;60;20180104;120000;132.7700000;134.7700000;132.7300000;134.5500000
GAZP;60;20180104;130000;134.5900000;135.4300000;134.2600000;135.2200000
GAZP;60;20180104;140000;135.2400000;135.8000000;134.9500000;135.3300000
GAZP;60;20180104;150000;135.3300000;135.4900000;135.0300000;135.4200000
GAZP;60;20180104;160000;135.4200000;135.8900000;135.3800000;135.8800000
GAZP;60;20180104;170000;135.8800000;136.0000000;135.1500000;135.5100000
GAZP;60;20180104;180000;135.5800000;136.2000000;135.5500000;135.9600000
GAZP;60;20180104;190000;135.9700000;136.0600000;135.3900000;135.8900000
GAZP;60;20180105;110000;135.8000000;136.1800000;135.0800000;135.1100000
GAZP;60;20180105;120000;135.1600000;136.8400000;135.1600000;136.5700000
GAZP;60;20180105;130000;136.6000000;136.9400000;135.8700000;136.1800000
GAZP;60;20180105;140000;136.2000000;136.4100000;136.0500000;136.2500000
GAZP;60;20180105;150000;136.2900000;136.8400000;136.1700000;136.6900000
GAZP;60;20180105;160000;136.7000000;136.8300000;136.5100000;136.5400000
GAZP;60;20180105;170000;136.6100000;136.7700000;136.3300000;136.6500000
GAZP;60;20180105;180000;136.7100000;136.9900000;136.5500000;136.8100000
GAZP;60;20180105;190000;136.8400000;137.1200000;136.4800000;137.1200000
GAZP;60;20180109;110000;138.0000000;138.4900000;137.6000000;138.2700000
GAZP;60;20180109;120000;138.2800000;141.0600000;138.2700000;140.7800000
GAZP;60;20180109;130000;140.7700000;141.3500000;140.3400000;140.8200000
GAZP;60;20180109;140000;140.8300000;141.1000000;140.4600000;140.6800000
GAZP;60;20180109;150000;140.7000000;140.8500000;140.4700000;140.4900000
GAZP;60;20180109;160000;140.5000000;140.8400000;139.5000000;139.6000000
GAZP;60;20180109;170000;139.6000000;140.0000000;139.3100000;139.8000000
GAZP;60;20180109;180000;139.8000000;140.7400000;139.4700000;139.7900000
GAZP;60;20180109;190000;139.7900000;140.1700000;139.2400000;140.0000000
